id,title,genre,release_year,popularity,developer,publisher,price_per_day,rating
606,NPPL: Championship Paintball 2009,Shooter,2008,7.4,FUN Labs,Activision Value,6353,E10+
607,The Evil Within,Action,2014,7.3,Tango Gameworks,Bethesda Softworks,8045,M
608,Sniper Elite 3,Shooter,2014,7.1,Rebellion,505 Games,6064,M
609,Total Overdose: A Gunslinger's Tale in Mexico,Shooter,2005,9,Deadline Games,Eidos Interactive,8858,M
610,Resident Evil: Revelations,Action,2013,7.5,Capcom,Capcom,9239,M
611,NHL 2001,Sports,2000,8.1,EA Sports,Electronic Arts,9914,E
612,Harvest Moon: Friends of Mineral Town,Simulation,2003,9.6,TOSE,Ubisoft,7582,E
613,Mega Man Zero Collection,Platform,2010,8.9,"Inti, Inti Creates",Capcom,6396,E
614,Madden NFL 17,Sports,2016,4.9,EA Sports,Electronic Arts,5597,E
615,Spider-Man 2,Action,2004,8.8,Treyarch,Activision,9927,T
616,Monsters vs. Aliens,Action,2009,4.5,Beenox,Activision,6880,E10+
617,Mafia III,Action,2016,4.6,Hangar 13,Take-Two Interactive,7888,M
618,Tony Hawk's Underground,Sports,2003,8.7,Neversoft Entertainment,Activision,9263,T
619,Thrillville: Off the Rails,Strategy,2007,0.6,Frontier Developments,LucasArts,6837,E10+
620,Crysis 3,Shooter,2013,6.3,Crytek,Electronic Arts,8446,M
621,God Eater Resurrection,Action,2015,7.8,"Shift, Bandai Namco Games",Namco Bandai Games,5836,T
622,Tony Hawk's Pro Skater 2,Sports,2001,7.5,Vicarious Visions,Activision,6450,E
623,SWAT 4,Shooter,2005,8.6,Irrational Games,Vivendi Games,5576,M
624,F.E.A.R. 2: Project Origin,Shooter,2009,7.9,Monolith Productions,Warner Bros. Interactive Entertainment,5954,M
625,Heavy Fire: Afghanistan,Shooter,2011,3.3,Teyon,Unknown,5019,T
626,Vanguard Bandits,Strategy,1998,7.4,S-Neo,Human Entertainment,5674,T
627,The House of The Dead III,Shooter,2002,7.3,Wow Entertainment,Sega,7326,M
628,The Mummy: Tomb of the Dragon Emperor,Action,2008,6.8,Eurocom Entertainment Software,Vivendi Games,9081,T
629,The World Ends With You,Role-Playing,2007,8.9,Jupiter Corporation,Square Enix,8314,T
630,Downhill Domination,Racing,2003,8.9,Incognito Inc.,Codemasters,8420,T
631,The Legend of Zelda: Twilight Princess,Action,2006,9,Nintendo,Nintendo,7735,T
632,Tom Clancy's Splinter Cell: Double Agent,Action,2006,8.1,Ubisoft Shanghai,Ubisoft,6286,M
633,Area 51,Shooter,2005,8.4,Midway Studios - Austin,Midway Games,7746,M
634,Sonic Chronicles: The Dark Brotherhood,Role-Playing,2008,7.3,BioWare,Sega,7572,E
635,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Action,2005,6,Traveller's Tales,Disney Interactive Studios,8321,T
636,Shrek Super Party,Misc,2003,7.3,Mass Media,TDK Mediactive,7566,E
637,Braid,Platform,2009,8.6,"Number None Inc., Knockout Games",Number None,7154,E10+
638,Runaway: A Twist of Fate,Adventure,2009,8.2,Pendulo Studios,Focus Home Interactive,5425,T
639,NBA Live 2002,Sports,2001,8.8,EA Canada,Electronic Arts,8903,E
640,Valentino Rossi: The Game,Racing,2016,6.2,"Milestone, Milestone S.r.l",Namco Bandai Games,5277,E
641,Sword Art Online: Hollow Fragment,Role-Playing,2014,7.6,Bandai Namco Games,Namco Bandai Games,6162,T
642,Legacy of Kain: Defiance,Action,2003,9.3,Crystal Dynamics,Eidos Interactive,7519,M
643,FIFA Street 2,Sports,2006,7.5,Exient Entertainment,Electronic Arts,6119,E
644,NBA 2K8,Sports,2007,7,Visual Concepts,Take-Two Interactive,9447,E
645,MotoGP,Racing,2002,8.4,Climax Group,THQ,6872,E
646,Headhunter,Action,2002,7.8,Amuze,Sega,7226,M
647,WordJong,Puzzle,2007,7.7,Magellan Interactive,White Park Bay Software,8250,E
648,Crash Bash,Misc,2000,8.2,Eurocom Entertainment Software,Sony Computer Entertainment,9216,E
649,Resident Evil: Outbreak,Action,2003,8.3,Capcom,Capcom,7728,M
650,Shaun Palmer's Pro Snowboarder,Sports,2001,8.7,Dearsoft,Codemasters,7526,E
651,Neopets Petpet Adventures: The Wand of Wishing,Adventure,2006,7.7,SCEA,Sony Computer Entertainment,8537,E
652,Super Stardust Ultra VR,Shooter,2016,6.2,Sony Interactive Entertainment,Sony Computer Entertainment,8761,E10+
653,Pitfall: The Lost Expedition,Platform,2004,8.6,Edge of Reality,Activision,6465,E
654,EyeToy: AntiGrav,Sports,2004,7.8,Harmonix Music Systems,Sony Computer Entertainment,7997,E
655,Harry Potter and the Half-Blood Prince,Action,2009,6.1,EA Bright Light,Electronic Arts,6190,E10+
656,Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,7.8,Ubisoft Montreal,Ubisoft,6853,M
657,Shinobi,Platform,2011,7.3,Griptonite Games,Sega,8468,T
658,MindJack,Shooter,2011,1.2,FeelPlus,Square Enix,8504,M
659,Guitar Hero: Aerosmith,Misc,2008,5,Neversoft Entertainment,Activision,8733,T
660,Pulse Racer,Racing,2003,2.8,Jaleco Entertainment,Jaleco,8896,E
661,Batman Begins,Action,2005,7.2,Eurocom Entertainment Software,Electronic Arts,7099,T
662,Midnight Club: Los Angeles,Racing,2008,8.5,Rockstar San Diego,Take-Two Interactive,8764,T
663,Killzone 2,Shooter,2009,8.1,Guerrilla,Sony Computer Entertainment,5296,M
664,AC/DC LIVE: Rock Band Track Pack,Misc,2008,5.3,Harmonix Music Systems,MTV Games,6023,T
665,Naruto: Ninja Council,Action,2003,7.1,Aspect,Tomy Corporation,6185,E10+
666,FIFA 2001 Major League Soccer,Sports,2000,7.8,EA Sports,Electronic Arts,9437,E
667,"Warhammer 40,000: Space Marine",Shooter,2011,7.4,Relic,THQ,6944,M
668,Shadow The Hedgehog,Platform,2005,5.5,Sega,Sega,9553,E10+
669,Crash: Mind Over Mutant,Platform,2008,6.5,Radical Entertainment,Vivendi Games,9556,E10+
670,Disney Art Academy,Action,2016,6.8,Headstrong Games,Nintendo,6886,E
671,Top Gear Rally,Racing,2003,7.6,Tantalus Interactive,Kemco,6255,E
672,NBA Street V3,Sports,2005,8.7,EA Canada,Electronic Arts,5369,E
673,Sonic Free Riders,Racing,2010,2.1,Sega,Sega,9829,E
674,Fullmetal Alchemist: Trading Card Game,Misc,2007,7.5,Magellan Interactive,Destineer,9653,T
675,Midtown Madness 3,Racing,2003,8.3,Digital Illusions,Microsoft Game Studios,6186,E
676,Castlevania: Circle of the Moon,Platform,2001,8.5,KCEK,Konami Digital Entertainment,8467,T
677,Spartan: Total Warrior,Action,2005,8.3,Creative Assembly,Sega,9790,M
678,Dance on Broadway,Misc,2010,3.3,Longtail Studios,Ubisoft,9908,E10+
679,Rayman 3: Hoodlum Havoc,Platform,2003,8.3,Ubisoft,Ubisoft,6711,E
680,Robots,Action,2005,6,Eurocom Entertainment Software,Vivendi Games,5348,E
681,E·O·E: Eve of Extinction,Fighting,2002,7.2,Yuke's,Eidos Interactive,6017,T
682,James Bond 007: Blood Stone,Shooter,2010,7.4,Bizarre Creations,Activision,9539,T
683,Digimon World Championship,Role-Playing,2008,6.5,Epics,Namco Bandai Games,8072,E
684,Deal or No Deal,Misc,2009,5,Artefacts Studio,Zoo Games,6610,E
685,Tony Hawk's Pro Skater 2x,Sports,2001,8.8,Treyarch,Activision,7872,T
686,James Bond 007: Blood Stone,Shooter,2010,7.1,Bizarre Creations,Activision,9327,T
687,Golden Sun: The Lost Age,Role-Playing,2002,9.5,Camelot Software Planning,Nintendo,9080,E
688,NCAA Final Four 2003,Sports,2002,6,989 Sports,Sony Computer Entertainment,9474,E
689,LEGO Marvel Super Heroes,Action,2013,8.1,TT Games,Warner Bros. Interactive Entertainment,5999,E10+
690,Persona 4: Arena,Fighting,2012,7.3,Arc System Works,Atlus,6536,T
691,Bleach: The 3rd Phantom,Role-Playing,2008,8,"Sega, Tom Create",Sega,9480,T
692,G-Force,Action,2009,8,Eurocom Entertainment Software,Disney Interactive Studios,9636,E10+
693,Mortal Kombat,Fighting,2012,7.8,NetherRealm Studios,Warner Bros. Interactive Entertainment,6534,M
694,Max Payne 2: The Fall of Max Payne,Shooter,2003,8.4,Remedy Entertainment,Take-Two Interactive,8505,M
695,Astro Boy,Action,2004,6.9,Sonic Team,Sega,8544,E
696,NBA 06,Sports,2005,6.3,SCEA Sports Studio,Sony Computer Entertainment,5490,E
697,Mafia,Action,2004,7.6,Illusion Softworks,Illusion Softworks,6004,M
698,Plants vs. Zombies: Garden Warfare 2,Shooter,2016,7.7,PopCap,Electronic Arts,7193,E10+
699,Scurge: Hive,Action,2006,8.6,"Orbital Media, Inc.",SouthPeak Games,8046,E10+
700,Star Trek: Legacy,Simulation,2006,4,Mad Doc Software,Ubisoft,7732,E10+
701,Midnight Club: LA Remix,Racing,2008,8.7,Rockstar London,Take-Two Interactive,5430,T
702,Your Shape: Fitness Evolved 2013,Action,2012,6.3,Blue Byte,Ubisoft,8485,E10+
703,The Legend of Zelda: Majora's Mask 3D,Action,2015,9,GREZZO,Nintendo,6814,E10+
704,Medal of Honor: Frontline,Shooter,2002,6.9,EA LA,Electronic Arts,6084,T
705,Call of Duty: Ghosts,Shooter,2013,2.6,Infinity Ward,Activision,6834,M
706,Gran Turismo 5 Prologue,Racing,2007,7.1,Polyphony Digital,Sony Computer Entertainment,7210,E
707,Call of Duty: Finest Hour,Shooter,2004,7.7,Spark Unlimited,Activision,7989,T
708,Lara Croft and the Temple of Osiris,Action,2014,6.7,Nixxes Software,Square Enix,7826,T
709,Get On Da Mic,Misc,2004,6.3,Artificial Mind and Movement,Eidos Interactive,7358,T
710,Rocky: Legends,Action,2004,8.6,Venom Games,Ubisoft,9340,T
711,NARC,Shooter,2005,2.8,Point of View,Midway Games,6576,M
712,Dead to Rights,Shooter,2002,8.7,Namco,Electronic Arts,6722,M
713,Monster Hunter Tri,Role-Playing,2009,8.6,Capcom,Nintendo,6821,T
714,Star Wars: Battlefront II,Shooter,2005,9,Pandemic Studios,LucasArts,5548,T
715,Transport Fever,Simulation,2016,7,Urban Games,Astragon,5592,T
716,Turning Point: Fall of Liberty,Shooter,2008,6.8,Spark Unlimited,Codemasters,9775,T
717,Baldur's Gate: Dark Alliance,Role-Playing,2001,8.3,Snowblind Studios,Virgin Interactive,8679,T
718,FIFA World Cup Germany 2006,Sports,2006,7.3,EA Canada,Electronic Arts,7888,E
719,Mega Man Legends 2,Adventure,2000,8.8,Capcom,Capcom,8613,E
720,Gallop Racer 2001,Sports,2001,9.1,Tecmo,Tecmo Koei,7519,E
721,Tales of Symphonia,Role-Playing,2003,8.5,Namco,Nintendo,9100,T
722,Burnout,Racing,2001,7.7,Criterion Games,Acclaim Entertainment,8814,E
723,The Golden Compass,Action,2007,4.9,Artificial Mind and Movement,Sega,5349,E10+
724,LEGO Star Wars III: The Clone Wars,Action,2011,7.7,Traveller's Tales,LucasArts,8610,E10+
725,Shining Force: Resurrection of the Dark Dragon,Role-Playing,2004,8.8,Amusement Vision,THQ,5722,T
726,Age of Mythology,Strategy,2002,8.9,Ensemble Studios,Microsoft Game Studios,6197,T
727,Ben 10 Alien Force: Vilgax Attacks,Action,2009,8.3,Papaya Studios,D3Publisher,9056,E10+
