id,title,genre,release_year,popularity,developer,publisher,price_per_day,rating
939,Pro Evolution Soccer 2010,Sports,2009,6.7,Konami,Konami Digital Entertainment,6876,E
940,Dragon Ball: XenoVerse,Fighting,2015,7.2,Dimps Corporation,Namco Bandai Games,8485,T
941,Indiana Jones and the Staff of Kings,Action,2009,7.8,Amaze,Activision,8905,T
942,Battlefield 2: Modern Combat,Shooter,2005,8.5,Digital Illusions,Electronic Arts,7613,T
943,RedCard 20-03,Sports,2002,9,Midway,Midway Games,8775,E
944,Homeworld,Strategy,1998,9,Relic,Vivendi Games,6685,E
945,Corpse Party: Blood Drive,Adventure,2014,7.4,5pb,Marvelous Interactive,7831,M
946,Resident Evil: Revelations,Action,2013,7.4,Capcom,Capcom,9756,M
947,Prison Architect,Action,2016,6.7,"Introversion, Double Eleven",Introversion Software,6667,T
948,Boom Blox Bash Party,Puzzle,2009,8.4,EA LA,Electronic Arts,7035,E
949,Star Wars The Clone Wars: Republic Heroes,Action,2009,6.3,Krome Studios,LucasArts,5105,T
950,Sly Cooper: Thieves in Time,Platform,2013,8.3,Sanzaru Games,Sony Computer Entertainment Europe,6722,E10+
951,Headhunter: Redemption,Action,2004,6.7,Amuze,Sega,7730,M
952,DeathSmiles,Shooter,2009,8.4,Cave,Rising Star Games,6783,T
953,ESPN NFL 2K5,Sports,2004,9.1,Visual Concepts,Sega,7089,E
954,Dishonored 2,Action,2016,6,Arkane Studios,Bethesda Softworks,8584,M
955,Tornado Outbreak,Action,2009,8,Loose Cannon Studios,Konami Digital Entertainment,7071,E10+
956,Princess Debut,Misc,2008,7.4,Cave,Cave,8939,E
957,Hoshigami: Ruining Blue Earth Remix,Role-Playing,2007,7.9,Barnhouse Effect,505 Games,8730,T
958,Harvest Moon: More Friends of Mineral Town,Simulation,2003,9.2,TOSE,Ubisoft,9199,E
959,R-Type Command,Strategy,2007,6.5,Irem,Rising Star Games,6564,E10+
960,Mario Party Advance,Misc,2005,5.4,Hudson,Nintendo,9418,E
961,Apache: Air Assault,Simulation,2010,6.1,Gaijin Entertainment,Activision,5308,T
962,Driver,Action,1999,8.1,Reflections Interactive,GT Interactive,8901,T
963,Valkyrie Profile: Lenneth,Role-Playing,2006,8.4,TOSE,Square Enix,7352,T
964,Call of Duty: Modern Warfare 3,Shooter,2011,3.4,"Infinity Ward, Sledgehammer Games",Activision,6364,M
965,Greg Hastings' Tournament Paintball Max'd,Shooter,2006,9.2,Activision Value,Activision,9595,E10+
966,Tak and the Power of Juju,Platform,2003,8.2,Avalanche Software,THQ,9963,E
967,NASCAR 09,Racing,2008,7.8,EA Games,Electronic Arts,7830,E
968,Obscure: The Aftermath,Action,2008,8.1,Hydravision,Playlogic Game Factory,7356,M
969,Tenchu: Shadow Assassins,Action,2009,7.4,From Software,Ubisoft,7188,M
970,Disney Sing It,Misc,2008,5.2,Zoe Mode,Disney Interactive Studios,5548,E
971,Star Wars: The Force Unleashed,Action,2008,5.5,n-Space,LucasArts,5143,T
972,Need for Speed Underground,Racing,2003,8.3,Black Box,Electronic Arts,7965,E
973,Bionic Commando,Platform,2009,7.4,GRIN,Capcom,8150,M
974,The Italian Job,Racing,2003,5.8,Climax Group,Eidos Interactive,6953,T
975,Prince of Persia: The Sands of Time,Action,2003,8.8,Ubisoft Montreal,Ubisoft,6016,T
976,Puzzle Quest: Challenge of the Warlords,Puzzle,2007,8,"Vicious Cycle, Infinite Interactive",D3Publisher,6698,E10+
977,Tornado Outbreak,Action,2009,8.2,Loose Cannon Studios,Konami Digital Entertainment,5626,E10+
978,MVP 06 NCAA Baseball,Sports,2006,8.6,EA Canada,Electronic Arts,9740,E
979,Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,7.3,Ubisoft Montreal,Ubisoft,8369,M
980,Madden NFL 2005,Sports,2004,7.6,EA Tiburon,Electronic Arts,6929,E
981,Madden NFL 2004,Sports,2003,7.7,EA Tiburon,Electronic Arts,5084,E
982,Dragon Quest V: Hand of the Heavenly Bride,Role-Playing,2008,8.5,ArtePiazza,Square Enix,8672,E10+
983,LEGO City Undercover,Platform,2013,8.2,TT Games,Nintendo,7153,E10+
984,Need for Speed: Porsche Unleashed,Racing,2004,7.8,Pocketeers,Zoo Digital Publishing,5022,E
985,Arslan: The Warriors of Legend,Action,2015,6.6,Omega Force,Tecmo Koei,6173,T
986,Code Name: S.T.E.A.M.,Strategy,2015,7.7,Intelligent Systems,Nintendo,7505,T
987,WWE SmackDown vs. Raw 2011,Fighting,2010,6.9,Yuke's,THQ,7605,T
988,Unreal II: The Awakening,Shooter,2004,5.3,Tantalus Interactive,Atari,5949,M
989,IHRA Drag Racing 2004,Racing,2003,7.4,Bethesda Softworks,Bethesda Softworks,7078,E
990,Spy Hunter,Racing,2001,7.8,Paradigm Entertainment,Midway Games,9604,T
991,Pac-Man and the Ghostly Adventures 2,Adventure,2014,6.3,Vicious Cycle,Namco Bandai Games,9325,E10+
992,Armored Core V,Simulation,2012,7.3,From Software,Namco Bandai Games,9221,T
993,Serious Sam: Next Encounter,Shooter,2004,7.8,Climax Group,Global Star,9132,M
994,Madden NFL 11,Sports,2010,6.1,EA Tiburon,Electronic Arts,6768,E
995,Shadow of the Colossus,Action,2005,9.1,SCE Japan Studio,Sony Computer Entertainment,5222,T
996,Motocross Mania 3,Racing,2005,3.6,Deibus Studios,Take-Two Interactive,5103,T
997,Rocky Balboa,Sports,2007,6.6,Ubisoft,Ubisoft,8502,T
998,Lemony Snicket's A Series of Unfortunate Events,Platform,2004,8,Griptonite Games,Activision,6760,E
999,The Settlers: Rise of an Empire,Strategy,2007,7.7,Blue Byte,Ubisoft,6903,E10+
1000,The Beatles: Rock Band,Misc,2009,8.7,Harmonix Music Systems,MTV Games,6476,T
